Variable,Column,Options,Code,Option,Code,Option,Code,Option,Code,Option,Code
Unique id (anonymous),id,,,,,,,,,,
Permission for the respondent's data to be used in the project.,agree,Yes,1,,,,,,,,
Main workplace: Please choose one of the following options.,workloc,office,1,remote,2,,,,,,
How long have you worked at company? Please choose 1 option.,workleng,Banding years: mean averaged ranging from 3 to 23,,,,,,,,,
I have line management responsibility for employees,manag_resp,Yes,1,No,2,,,,,,
,,,,,,,,,,,
Do you feel involved in organisational decision-making?,involved,Standardised scores ranging from -5 (very dissatisfied) to +5 (very satisfied),,,,,,,,,
Do you feel that you are trusted to do your job independently?,autonomy,Standardised scores ranging from -5 (very dissatisfied) to +5 (very satisfied),,,,,,,,,
Do you have a positive working relationship with your direct manager?,direct_manag,Standardised scores ranging from -5 (very dissatisfied) to +5 (very satisfied),,,,,,,,,
Do you feel part of your team?,integrated,Standardised scores ranging from -5 (very dissatisfied) to +5 (very satisfied),,,,,,,,,
Do you feel that the organisation cares about you?,welfare,Standardised scores ranging from -5 (very dissatisfied) to +5 (very satisfied),,,,,,,,,
Do you get enough training to do your job effectively?,training,Standardised scores ranging from -5 (very dissatisfied) to +5 (very satisfied),,,,,,,,,
Is your work-life balance manageable?,work_press,Standardised scores ranging from -5 (very dissatisfied) to +5 (very satisfied),,,,,,,,,
Does the organisation respond well to externally driven change?,reflexive,Standardised scores ranging from -5 (very dissatisfied) to +5 (very satisfied),,,,,,,,,
Do the organisation welcome ideas for innovation and implement these?,innovative,Standardised scores ranging from -5 (very dissatisfied) to +5 (very satisfied),,,,,,,,,
Does the organisation respond well to customer needs?,customers,Standardised scores ranging from -5 (very dissatisfied) to +5 (very satisfied),,,,,,,,,
,,,,,,,,,,,
Overall positivity rating based on response to all 74 statements.,overall,"Sum of standardised scores, with higher positive numbers indicating higher employee satisfaction. ",,,,,,,,,
Do you intend leaving the organisation in the next six months?,intent_quit,Yes,1,No,2,Not sure,3,,,,
Sentiment codes for textual responses.,sentiment,Positive,1,Negative,2,Neutral,3,,,,
